,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"Cluster 0, FIRST_DEPRESSION",0.0,0.0,0.0,0.0,0.0,0.0,1025.0,983.0,
"Cluster 0, FIRST_DIAB_COMP",0.0,0.0,0.0,0.0,0.0,0.0,931.0,974.0,
"Cluster 0, FIRST_DIAB",0.001,0.0,0.001,0.001,0.0,0.0,942.0,875.0,
"Cluster 0, FIRST_DRUG_ABUSE",0.0,0.0,0.0,0.0,0.0,0.0,943.0,982.0,
"Cluster 0, FIRST_FED",0.0,0.0,0.0,0.0,0.0,0.0,923.0,756.0,
"Cluster 0, FIRST_HYPERTENSION",0.015,0.0,0.014,0.015,0.0,0.0,946.0,1072.0,
"Cluster 0, FIRST_HYPERTENSION_COMP",0.0,0.0,0.0,0.0,0.0,0.0,912.0,954.0,
"Cluster 0, FIRST_HYPOTHYROIDISM",0.002,0.0,0.002,0.002,0.0,0.0,915.0,888.0,
"Cluster 0, FIRST_LIVER_DISEASE",0.0,0.0,0.0,0.001,0.0,0.0,975.0,945.0,
"Cluster 0, FIRST_LYMPHOMA",0.0,0.0,0.0,0.001,0.0,0.0,706.0,745.0,
"Cluster 0, FIRST_METASTATIC_CANCER",0.0,0.0,0.0,0.0,0.0,0.0,956.0,951.0,
"Cluster 0, FIRST_OBESITY",0.0,0.0,0.0,0.0,0.0,0.0,1010.0,1023.0,
"Cluster 0, FIRST_OND",0.0,0.0,0.0,0.0,0.0,0.0,857.0,916.0,
"Cluster 0, FIRST_PARALYSIS",0.0,0.0,0.0,0.0,0.0,0.0,1047.0,956.0,
"Cluster 0, FIRST_PEP_ULCER",0.001,0.0,0.001,0.001,0.0,0.0,1067.0,981.0,
"Cluster 0, FIRST_PVD",0.0,0.0,0.0,0.0,0.0,0.0,992.0,914.0,
"Cluster 0, FIRST_PSYCHOSES",0.0,0.0,0.0,0.0,0.0,0.0,950.0,769.0,
"Cluster 0, FIRST_PCD",0.0,0.0,0.0,0.0,0.0,0.0,830.0,849.0,
"Cluster 0, FIRST_RENAL_DISEASE",0.0,0.0,0.0,0.0,0.0,0.0,1107.0,990.0,
"Cluster 0, FIRST_RA",0.0,0.0,0.0,0.0,0.0,0.0,1099.0,983.0,
"Cluster 0, FIRST_CANCER",0.009,0.0,0.008,0.009,0.0,0.0,913.0,908.0,
"Cluster 0, FIRST_VALVULAR_DISEASE",0.0,0.0,0.0,0.0,0.0,0.0,1107.0,979.0,
"Cluster 0, FIRST_WEIGHT_LOSS",0.001,0.0,0.001,0.001,0.0,0.0,983.0,840.0,
"Cluster 1, FIRST_BL_ANAEMIA",0.003,0.0,0.003,0.004,0.0,0.0,1053.0,926.0,
"Cluster 1, FIRST_ARRYTHMIA",0.052,0.001,0.05,0.054,0.0,0.0,842.0,983.0,
"Cluster 1, FIRST_CPD",0.265,0.002,0.261,0.269,0.0,0.0,1030.0,976.0,
"Cluster 1, FIRST_CHF",0.005,0.0,0.005,0.006,0.0,0.0,1079.0,787.0,
"Cluster 1, FIRST_COAGULOPATHY",0.006,0.0,0.005,0.007,0.0,0.0,985.0,998.0,
"Cluster 1, FIRST_DEF_ANAEMIA",0.082,0.001,0.08,0.085,0.0,0.0,939.0,939.0,
"Cluster 1, FIRST_DEPRESSION",0.203,0.002,0.2,0.208,0.0,0.0,929.0,904.0,
"Cluster 1, FIRST_DIAB_COMP",0.0,0.0,0.0,0.001,0.0,0.0,864.0,942.0,
"Cluster 1, FIRST_DIAB",0.096,0.002,0.092,0.099,0.0,0.0,950.0,892.0,
"Cluster 1, FIRST_DRUG_ABUSE",0.005,0.0,0.005,0.006,0.0,0.0,971.0,982.0,
"Cluster 1, FIRST_FED",0.035,0.001,0.033,0.037,0.0,0.0,905.0,836.0,
"Cluster 1, FIRST_HYPERTENSION",0.333,0.002,0.328,0.338,0.0,0.0,1014.0,874.0,
"Cluster 1, FIRST_HYPERTENSION_COMP",0.0,0.0,0.0,0.0,0.0,0.0,1045.0,951.0,
"Cluster 1, FIRST_HYPOTHYROIDISM",0.097,0.001,0.095,0.1,0.0,0.0,1053.0,919.0,
"Cluster 1, FIRST_LIVER_DISEASE",0.038,0.001,0.036,0.04,0.0,0.0,931.0,862.0,
"Cluster 1, FIRST_LYMPHOMA",0.015,0.001,0.013,0.016,0.0,0.0,945.0,908.0,
"Cluster 1, FIRST_METASTATIC_CANCER",0.001,0.0,0.001,0.001,0.0,0.0,1006.0,971.0,
"Cluster 1, FIRST_OBESITY",0.092,0.001,0.089,0.095,0.0,0.0,987.0,1021.0,
"Cluster 1, FIRST_OND",0.042,0.001,0.039,0.044,0.0,0.0,980.0,1026.0,
"Cluster 1, FIRST_PARALYSIS",0.003,0.0,0.003,0.004,0.0,0.0,872.0,952.0,
"Cluster 1, FIRST_PEP_ULCER",0.042,0.001,0.04,0.044,0.0,0.0,850.0,981.0,
"Cluster 1, FIRST_PVD",0.03,0.001,0.028,0.032,0.0,0.0,960.0,942.0,
"Cluster 1, FIRST_PSYCHOSES",0.009,0.0,0.008,0.01,0.0,0.0,1083.0,908.0,
"Cluster 1, FIRST_PCD",0.023,0.001,0.022,0.025,0.0,0.0,1047.0,971.0,
"Cluster 1, FIRST_RENAL_DISEASE",0.027,0.001,0.025,0.029,0.0,0.0,836.0,981.0,
"Cluster 1, FIRST_RA",0.051,0.001,0.049,0.053,0.0,0.0,942.0,983.0,
"Cluster 1, FIRST_CANCER",0.22,0.002,0.215,0.224,0.0,0.0,955.0,1024.0,
"Cluster 1, FIRST_VALVULAR_DISEASE",0.008,0.001,0.007,0.009,0.0,0.0,895.0,954.0,
"Cluster 1, FIRST_WEIGHT_LOSS",0.09,0.001,0.087,0.093,0.0,0.0,989.0,849.0,
"Cluster 2, FIRST_BL_ANAEMIA",0.001,0.0,0.0,0.001,0.0,0.0,1018.0,1021.0,
"Cluster 2, FIRST_ARRYTHMIA",0.415,0.003,0.409,0.422,0.0,0.0,947.0,983.0,
"Cluster 2, FIRST_CPD",0.183,0.003,0.178,0.187,0.0,0.0,1120.0,901.0,
"Cluster 2, FIRST_CHF",0.09,0.002,0.087,0.094,0.0,0.0,1048.0,864.0,
"Cluster 2, FIRST_COAGULOPATHY",0.009,0.001,0.008,0.011,0.0,0.0,865.0,869.0,
"Cluster 2, FIRST_DEF_ANAEMIA",0.045,0.001,0.043,0.048,0.0,0.0,1029.0,841.0,
"Cluster 2, FIRST_DEPRESSION",0.096,0.002,0.093,0.1,0.0,0.0,1066.0,885.0,
"Cluster 2, FIRST_DIAB_COMP",0.001,0.0,0.0,0.001,0.0,0.0,1043.0,1005.0,
"Cluster 2, FIRST_DIAB",0.132,0.002,0.127,0.136,0.0,0.0,949.0,908.0,
"Cluster 2, FIRST_DRUG_ABUSE",0.001,0.0,0.001,0.002,0.0,0.0,899.0,942.0,
"Cluster 2, FIRST_FED",0.05,0.002,0.047,0.053,0.0,0.0,916.0,942.0,
"Cluster 2, FIRST_HYPERTENSION",0.682,0.003,0.676,0.688,0.0,0.0,1042.0,1013.0,
"Cluster 2, FIRST_HYPERTENSION_COMP",0.002,0.0,0.002,0.003,0.0,0.0,1108.0,942.0,
"Cluster 2, FIRST_HYPOTHYROIDISM",0.061,0.002,0.058,0.065,0.0,0.0,1115.0,905.0,
"Cluster 2, FIRST_LIVER_DISEASE",0.013,0.001,0.012,0.015,0.0,0.0,1066.0,794.0,
"Cluster 2, FIRST_LYMPHOMA",0.01,0.001,0.008,0.011,0.0,0.0,901.0,872.0,
"Cluster 2, FIRST_METASTATIC_CANCER",0.001,0.0,0.001,0.002,0.0,0.0,1096.0,970.0,
"Cluster 2, FIRST_OBESITY",0.131,0.002,0.126,0.135,0.0,0.0,840.0,843.0,
"Cluster 2, FIRST_OND",0.183,0.003,0.178,0.188,0.0,0.0,997.0,972.0,
"Cluster 2, FIRST_PARALYSIS",0.012,0.001,0.01,0.013,0.0,0.0,932.0,787.0,
"Cluster 2, FIRST_PEP_ULCER",0.014,0.001,0.013,0.015,0.0,0.0,976.0,973.0,
"Cluster 2, FIRST_PVD",0.097,0.002,0.093,0.101,0.0,0.0,783.0,914.0,
"Cluster 2, FIRST_PSYCHOSES",0.001,0.0,0.0,0.001,0.0,0.0,899.0,874.0,
"Cluster 2, FIRST_PCD",0.033,0.001,0.031,0.036,0.0,0.0,931.0,914.0,
"Cluster 2, FIRST_RENAL_DISEASE",0.073,0.002,0.07,0.077,0.0,0.0,999.0,928.0,
"Cluster 2, FIRST_RA",0.037,0.001,0.035,0.04,0.0,0.0,1007.0,972.0,
"Cluster 2, FIRST_CANCER",0.172,0.003,0.168,0.177,0.0,0.0,1072.0,909.0,
"Cluster 2, FIRST_VALVULAR_DISEASE",0.17,0.003,0.165,0.175,0.0,0.0,1030.0,1020.0,
"Cluster 2, FIRST_WEIGHT_LOSS",0.023,0.001,0.021,0.025,0.0,0.0,936.0,652.0,
"Cluster 3, FIRST_BL_ANAEMIA",0.001,0.0,0.001,0.001,0.0,0.0,867.0,983.0,
"Cluster 3, FIRST_ARRYTHMIA",0.022,0.001,0.02,0.024,0.0,0.0,1064.0,882.0,
"Cluster 3, FIRST_CPD",0.157,0.002,0.153,0.162,0.0,0.0,841.0,899.0,
"Cluster 3, FIRST_CHF",0.016,0.001,0.015,0.018,0.0,0.0,1024.0,923.0,
"Cluster 3, FIRST_COAGULOPATHY",0.003,0.0,0.002,0.004,0.0,0.0,1037.0,995.0,
"Cluster 3, FIRST_DEF_ANAEMIA",0.046,0.002,0.042,0.049,0.0,0.0,776.0,792.0,
"Cluster 3, FIRST_DEPRESSION",0.12,0.002,0.115,0.124,0.0,0.0,980.0,981.0,
"Cluster 3, FIRST_DIAB_COMP",0.002,0.0,0.001,0.003,0.0,0.0,959.0,842.0,
"Cluster 3, FIRST_DIAB",0.223,0.003,0.217,0.229,0.0,0.0,892.0,942.0,
"Cluster 3, FIRST_DRUG_ABUSE",0.002,0.0,0.001,0.002,0.0,0.0,1077.0,1012.0,
"Cluster 3, FIRST_FED",0.04,0.002,0.037,0.043,0.0,0.0,1196.0,772.0,
"Cluster 3, FIRST_HYPERTENSION",0.943,0.002,0.94,0.947,0.0,0.0,859.0,759.0,
"Cluster 3, FIRST_HYPERTENSION_COMP",0.009,0.001,0.008,0.01,0.0,0.0,881.0,841.0,
"Cluster 3, FIRST_HYPOTHYROIDISM",0.084,0.002,0.08,0.088,0.0,0.0,1081.0,934.0,
"Cluster 3, FIRST_LIVER_DISEASE",0.018,0.001,0.016,0.02,0.0,0.0,1038.0,871.0,
"Cluster 3, FIRST_LYMPHOMA",0.005,0.0,0.004,0.006,0.0,0.0,996.0,872.0,
"Cluster 3, FIRST_METASTATIC_CANCER",0.002,0.0,0.001,0.003,0.0,0.0,936.0,905.0,
"Cluster 3, FIRST_OBESITY",0.163,0.003,0.158,0.169,0.0,0.0,1002.0,974.0,
"Cluster 3, FIRST_OND",0.031,0.001,0.029,0.034,0.0,0.0,1038.0,875.0,
"Cluster 3, FIRST_PARALYSIS",0.003,0.0,0.003,0.004,0.0,0.0,839.0,730.0,
"Cluster 3, FIRST_PEP_ULCER",0.016,0.001,0.014,0.017,0.0,0.0,893.0,921.0,
"Cluster 3, FIRST_PVD",0.046,0.002,0.042,0.048,0.0,0.0,1027.0,914.0,
"Cluster 3, FIRST_PSYCHOSES",0.001,0.0,0.0,0.001,0.0,0.0,965.0,1024.0,
"Cluster 3, FIRST_PCD",0.008,0.001,0.007,0.01,0.0,0.0,885.0,817.0,
"Cluster 3, FIRST_RENAL_DISEASE",0.131,0.003,0.126,0.135,0.0,0.0,872.0,849.0,
"Cluster 3, FIRST_RA",0.041,0.002,0.038,0.044,0.0,0.0,913.0,982.0,
"Cluster 3, FIRST_CANCER",0.201,0.003,0.196,0.207,0.0,0.0,1061.0,875.0,
"Cluster 3, FIRST_VALVULAR_DISEASE",0.007,0.001,0.006,0.008,0.0,0.0,1044.0,970.0,
"Cluster 3, FIRST_WEIGHT_LOSS",0.014,0.001,0.012,0.016,0.0,0.0,843.0,914.0,
"Cluster 4, FIRST_BL_ANAEMIA",0.001,0.0,0.001,0.002,0.0,0.0,970.0,944.0,
"Cluster 4, FIRST_ARRYTHMIA",0.133,0.004,0.126,0.14,0.0,0.0,911.0,889.0,
"Cluster 4, FIRST_CPD",0.193,0.004,0.185,0.201,0.0,0.0,1078.0,1026.0,
"Cluster 4, FIRST_CHF",0.043,0.002,0.039,0.047,0.0,0.0,1012.0,934.0,
"Cluster 4, FIRST_COAGULOPATHY",0.011,0.001,0.008,0.013,0.0,0.0,1043.0,909.0,
"Cluster 4, FIRST_DEF_ANAEMIA",0.096,0.003,0.09,0.102,0.0,0.0,1125.0,1023.0,
"Cluster 4, FIRST_DEPRESSION",0.187,0.004,0.18,0.195,0.0,0.0,942.0,914.0,
"Cluster 4, FIRST_DIAB_COMP",0.527,0.005,0.519,0.537,0.0,0.0,985.0,1026.0,
"Cluster 4, FIRST_DIAB",0.966,0.002,0.963,0.97,0.0,0.0,954.0,1021.0,
"Cluster 4, FIRST_DRUG_ABUSE",0.003,0.001,0.002,0.004,0.0,0.0,1092.0,959.0,
"Cluster 4, FIRST_FED",0.062,0.002,0.057,0.066,0.0,0.0,1027.0,1062.0,
"Cluster 4, FIRST_HYPERTENSION",0.73,0.005,0.721,0.74,0.0,0.0,1022.0,1071.0,
"Cluster 4, FIRST_HYPERTENSION_COMP",0.003,0.001,0.002,0.005,0.0,0.0,994.0,816.0,
"Cluster 4, FIRST_HYPOTHYROIDISM",0.072,0.003,0.067,0.077,0.0,0.0,1103.0,983.0,
"Cluster 4, FIRST_LIVER_DISEASE",0.051,0.002,0.047,0.056,0.0,0.0,876.0,944.0,
"Cluster 4, FIRST_LYMPHOMA",0.009,0.001,0.007,0.011,0.0,0.0,827.0,943.0,
"Cluster 4, FIRST_METASTATIC_CANCER",0.007,0.001,0.005,0.008,0.0,0.0,1078.0,876.0,
"Cluster 4, FIRST_OBESITY",0.306,0.005,0.297,0.315,0.0,0.0,659.0,816.0,
"Cluster 4, FIRST_OND",0.126,0.003,0.119,0.132,0.0,0.0,1066.0,822.0,
"Cluster 4, FIRST_PARALYSIS",0.016,0.001,0.014,0.019,0.0,0.0,967.0,1021.0,
"Cluster 4, FIRST_PEP_ULCER",0.032,0.002,0.028,0.036,0.0,0.0,830.0,844.0,
"Cluster 4, FIRST_PVD",0.093,0.003,0.087,0.099,0.0,0.0,933.0,952.0,
"Cluster 4, FIRST_PSYCHOSES",0.006,0.001,0.004,0.007,0.0,0.0,831.0,941.0,
"Cluster 4, FIRST_PCD",0.017,0.001,0.015,0.02,0.0,0.0,887.0,1026.0,
"Cluster 4, FIRST_RENAL_DISEASE",0.128,0.004,0.12,0.134,0.0,0.0,983.0,941.0,
"Cluster 4, FIRST_RA",0.04,0.002,0.036,0.044,0.0,0.0,1011.0,943.0,
"Cluster 4, FIRST_CANCER",0.165,0.004,0.158,0.173,0.0,0.0,928.0,844.0,
"Cluster 4, FIRST_VALVULAR_DISEASE",0.039,0.002,0.035,0.043,0.0,0.0,843.0,953.0,
"Cluster 4, FIRST_WEIGHT_LOSS",0.061,0.003,0.056,0.066,0.0,0.0,905.0,910.0,
"Cluster 5, FIRST_BL_ANAEMIA",0.006,0.001,0.004,0.009,0.0,0.0,937.0,944.0,
"Cluster 5, FIRST_ARRYTHMIA",0.258,0.007,0.243,0.272,0.0,0.0,825.0,939.0,
"Cluster 5, FIRST_CPD",0.43,0.009,0.413,0.447,0.0,0.0,1111.0,981.0,
"Cluster 5, FIRST_CHF",0.073,0.004,0.066,0.082,0.0,0.0,845.0,983.0,
"Cluster 5, FIRST_COAGULOPATHY",0.031,0.003,0.025,0.037,0.0,0.0,1022.0,951.0,
"Cluster 5, FIRST_DEF_ANAEMIA",0.229,0.007,0.216,0.243,0.0,0.0,1037.0,975.0,
"Cluster 5, FIRST_DEPRESSION",0.648,0.008,0.631,0.663,0.0,0.0,865.0,818.0,
"Cluster 5, FIRST_DIAB_COMP",0.009,0.002,0.005,0.012,0.0,0.0,1006.0,934.0,
"Cluster 5, FIRST_DIAB",0.302,0.008,0.287,0.315,0.0,0.0,1022.0,949.0,
"Cluster 5, FIRST_DRUG_ABUSE",0.057,0.004,0.049,0.066,0.0,0.0,911.0,832.0,
"Cluster 5, FIRST_FED",0.238,0.007,0.224,0.251,0.0,0.0,982.0,796.0,
"Cluster 5, FIRST_HYPERTENSION",0.632,0.009,0.614,0.648,0.0,0.0,989.0,943.0,
"Cluster 5, FIRST_HYPERTENSION_COMP",0.004,0.001,0.002,0.006,0.0,0.0,954.0,977.0,
"Cluster 5, FIRST_HYPOTHYROIDISM",0.138,0.006,0.126,0.149,0.0,0.0,785.0,921.0,
"Cluster 5, FIRST_LIVER_DISEASE",0.127,0.006,0.115,0.139,0.0,0.0,1056.0,842.0,
"Cluster 5, FIRST_LYMPHOMA",0.017,0.002,0.013,0.022,0.0,0.0,1033.0,933.0,
"Cluster 5, FIRST_METASTATIC_CANCER",0.006,0.002,0.004,0.009,0.0,0.0,873.0,1023.0,
"Cluster 5, FIRST_OBESITY",0.235,0.007,0.221,0.247,0.0,0.0,982.0,943.0,
"Cluster 5, FIRST_OND",0.336,0.009,0.319,0.352,0.0,0.0,978.0,1021.0,
"Cluster 5, FIRST_PARALYSIS",0.039,0.003,0.033,0.046,0.0,0.0,718.0,783.0,
"Cluster 5, FIRST_PEP_ULCER",0.095,0.005,0.085,0.106,0.0,0.0,1031.0,860.0,
"Cluster 5, FIRST_PVD",0.094,0.005,0.084,0.104,0.0,0.0,1045.0,932.0,
"Cluster 5, FIRST_PSYCHOSES",0.092,0.005,0.082,0.1,0.0,0.0,937.0,973.0,
"Cluster 5, FIRST_PCD",0.068,0.004,0.059,0.076,0.0,0.0,1002.0,939.0,
"Cluster 5, FIRST_RENAL_DISEASE",0.2,0.007,0.187,0.215,0.0,0.0,1017.0,1017.0,
"Cluster 5, FIRST_RA",0.135,0.006,0.124,0.146,0.0,0.0,1028.0,905.0,
"Cluster 5, FIRST_CANCER",0.145,0.006,0.134,0.157,0.0,0.0,794.0,793.0,
"Cluster 5, FIRST_VALVULAR_DISEASE",0.091,0.005,0.082,0.101,0.0,0.0,1006.0,983.0,
"Cluster 5, FIRST_WEIGHT_LOSS",0.24,0.007,0.226,0.254,0.0,0.0,962.0,553.0,
"Cluster 6, FIRST_BL_ANAEMIA",0.002,0.001,0.001,0.003,0.0,0.0,876.0,909.0,
"Cluster 6, FIRST_ARRYTHMIA",0.207,0.006,0.196,0.219,0.0,0.0,908.0,931.0,
"Cluster 6, FIRST_CPD",0.172,0.006,0.161,0.183,0.0,0.0,1228.0,897.0,
"Cluster 6, FIRST_CHF",0.024,0.002,0.02,0.028,0.0,0.0,867.0,944.0,
"Cluster 6, FIRST_COAGULOPATHY",0.017,0.002,0.013,0.021,0.0,0.0,892.0,907.0,
"Cluster 6, FIRST_DEF_ANAEMIA",0.041,0.003,0.035,0.047,0.0,0.0,1022.0,880.0,
"Cluster 6, FIRST_DEPRESSION",0.265,0.007,0.252,0.278,0.0,0.0,1050.0,982.0,
"Cluster 6, FIRST_DIAB_COMP",0.001,0.0,0.0,0.002,0.0,0.0,1017.0,882.0,
"Cluster 6, FIRST_DIAB",0.118,0.004,0.11,0.127,0.0,0.0,876.0,1070.0,
"Cluster 6, FIRST_DRUG_ABUSE",0.011,0.002,0.008,0.014,0.0,0.0,800.0,945.0,
"Cluster 6, FIRST_FED",0.171,0.005,0.161,0.182,0.0,0.0,981.0,982.0,
"Cluster 6, FIRST_HYPERTENSION",0.492,0.007,0.478,0.506,0.0,0.0,939.0,871.0,
"Cluster 6, FIRST_HYPERTENSION_COMP",0.001,0.001,0.0,0.002,0.0,0.0,1013.0,906.0,
"Cluster 6, FIRST_HYPOTHYROIDISM",0.048,0.003,0.042,0.054,0.0,0.0,1028.0,841.0,
"Cluster 6, FIRST_LIVER_DISEASE",0.029,0.003,0.024,0.034,0.0,0.0,987.0,1013.0,
"Cluster 6, FIRST_LYMPHOMA",0.008,0.001,0.005,0.011,0.0,0.0,878.0,961.0,
"Cluster 6, FIRST_METASTATIC_CANCER",0.009,0.002,0.006,0.012,0.0,0.0,869.0,983.0,
"Cluster 6, FIRST_OBESITY",0.057,0.003,0.05,0.063,0.0,0.0,1016.0,915.0,
"Cluster 6, FIRST_OND",0.882,0.005,0.873,0.892,0.0,0.0,914.0,900.0,
"Cluster 6, FIRST_PARALYSIS",0.235,0.006,0.223,0.247,0.0,0.0,915.0,917.0,
"Cluster 6, FIRST_PEP_ULCER",0.02,0.002,0.016,0.025,0.0,0.0,902.0,958.0,
"Cluster 6, FIRST_PVD",0.077,0.004,0.069,0.085,0.0,0.0,957.0,974.0,
"Cluster 6, FIRST_PSYCHOSES",0.035,0.003,0.03,0.04,0.0,0.0,884.0,864.0,
"Cluster 6, FIRST_PCD",0.031,0.003,0.026,0.037,0.0,0.0,997.0,890.0,
"Cluster 6, FIRST_RENAL_DISEASE",0.063,0.003,0.057,0.07,0.0,0.0,951.0,912.0,
"Cluster 6, FIRST_RA",0.013,0.002,0.01,0.017,0.0,0.0,1082.0,1026.0,
"Cluster 6, FIRST_CANCER",0.192,0.006,0.181,0.205,0.0,0.0,934.0,935.0,
"Cluster 6, FIRST_VALVULAR_DISEASE",0.019,0.002,0.015,0.023,0.0,0.0,914.0,791.0,
"Cluster 6, FIRST_WEIGHT_LOSS",0.087,0.004,0.079,0.095,0.0,0.0,970.0,1026.0,
"Cluster 7, FIRST_BL_ANAEMIA",0.002,0.001,0.001,0.004,0.0,0.0,975.0,981.0,
"Cluster 7, FIRST_ARRYTHMIA",0.266,0.008,0.252,0.281,0.0,0.0,977.0,942.0,
"Cluster 7, FIRST_CPD",0.296,0.009,0.28,0.313,0.0,0.0,915.0,865.0,
"Cluster 7, FIRST_CHF",0.132,0.006,0.12,0.143,0.0,0.0,1024.0,980.0,
"Cluster 7, FIRST_COAGULOPATHY",0.025,0.003,0.02,0.031,0.0,0.0,924.0,935.0,
"Cluster 7, FIRST_DEF_ANAEMIA",0.065,0.005,0.056,0.074,0.0,0.0,999.0,901.0,
"Cluster 7, FIRST_DEPRESSION",0.097,0.005,0.088,0.107,0.0,0.0,1019.0,971.0,
"Cluster 7, FIRST_DIAB_COMP",0.002,0.001,0.001,0.004,0.0,0.0,908.0,979.0,
"Cluster 7, FIRST_DIAB",0.112,0.006,0.1,0.124,0.0,0.0,1001.0,889.0,
