,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"Cluster 1, FIRST_OBESITY",0.047,0.007,0.034,0.061,0,0,950,1023,NaN
"Cluster 1, FIRST_OND",0.081,0.008,0.065,0.097,0,0,1092,874,NaN
"Cluster 1, FIRST_PARALYSIS",0.009,0.002,0.005,0.013,0,0,883,873,NaN
"Cluster 1, FIRST_PEP_ULCER",0.026,0.003,0.019,0.033,0,0,933,972,NaN
"Cluster 1, FIRST_PVD",0.118,0.009,0.1,0.135,0,0,1083,867,NaN
"Cluster 1, FIRST_PSYCHOSES",0.006,0.002,0.003,0.009,0,0,1177,969,NaN
"Cluster 1, FIRST_PCD",0.075,0.006,0.062,0.086,0,0,1044,943,NaN
"Cluster 1, FIRST_RENAL_DISEASE",0.034,0.004,0.027,0.044,0,0,1027,1067,NaN
"Cluster 1, FIRST_RA",0.05,0.004,0.041,0.058,0,0,1003,905,NaN
"Cluster 1, FIRST_CANCER",0.158,0.009,0.141,0.175,0,0,1031,1033,NaN
"Cluster 1, FIRST_VALVULAR_DISEASE",0.025,0.004,0.017,0.033,0,0,1040,867,NaN
"Cluster 1, FIRST_WEIGHT_LOSS",0.137,0.008,0.122,0.152,0,0,1053,1069,NaN
"Cluster 2, FIRST_BL_ANAEMIA",0.003,0.002,0.001,0.007,0,0,894,971,NaN
"Cluster 2, FIRST_ARRYTHMIA",0.625,0.029,0.566,0.683,0.001,0.001,975,944,NaN
"Cluster 2, FIRST_CPD",0.299,0.022,0.257,0.34,0.001,0,1042,919,NaN
"Cluster 2, FIRST_CHF",0.385,0.026,0.334,0.431,0.001,0.001,981,880,NaN
"Cluster 2, FIRST_COAGULOPATHY",0.019,0.006,0.009,0.029,0,0,1026,983,NaN
"Cluster 2, FIRST_DEF_ANAEMIA",0.188,0.017,0.156,0.221,0.001,0,1085,948,NaN
"Cluster 2, FIRST_DEPRESSION",0.365,0.022,0.322,0.407,0.001,0.001,945,1053,NaN
"Cluster 2, FIRST_DIAB_COMP",0.004,0.003,0.001,0.009,0,0,1069,983,NaN
"Cluster 2, FIRST_DIAB",0.22,0.017,0.188,0.254,0.001,0,1010,1017,NaN
"Cluster 2, FIRST_DRUG_ABUSE",0.008,0.004,0.003,0.016,0,0,857,979,NaN
"Cluster 2, FIRST_FED",0.476,0.024,0.43,0.523,0.001,0.001,976,910,NaN
"Cluster 2, FIRST_HYPERTENSION",0.843,0.02,0.806,0.881,0.001,0,833,1026,NaN
"Cluster 2, FIRST_HYPERTENSION_COMP",0.039,0.008,0.026,0.056,0,0,1111,1119,NaN
"Cluster 2, FIRST_HYPOTHYROIDISM",0.104,0.012,0.082,0.127,0,0,1037,875,NaN
"Cluster 2, FIRST_LIVER_DISEASE",0.031,0.008,0.017,0.046,0,0,953,1016,NaN
"Cluster 2, FIRST_LYMPHOMA",0.016,0.005,0.008,0.027,0,0,972,900,NaN
"Cluster 2, FIRST_METASTATIC_CANCER",0.011,0.005,0.004,0.021,0,0,1068,978,NaN
"Cluster 2, FIRST_OBESITY",0.102,0.012,0.077,0.125,0,0,1080,983,NaN
"Cluster 2, FIRST_OND",0.956,0.024,0.907,0.989,0.001,0.001,848,1019,NaN
"Cluster 2, FIRST_PARALYSIS",0.452,0.044,0.362,0.536,0.001,0.001,930,746,NaN
"Cluster 2, FIRST_PEP_ULCER",0.057,0.009,0.04,0.076,0,0,926,867,NaN
"Cluster 2, FIRST_PVD",0.184,0.017,0.153,0.215,0.001,0,807,938,NaN
"Cluster 2, FIRST_PSYCHOSES",0.049,0.009,0.033,0.069,0,0,1007,906,NaN
"Cluster 2, FIRST_PCD",0.07,0.011,0.05,0.09,0,0,1063,849,NaN
"Cluster 2, FIRST_RENAL_DISEASE",0.378,0.027,0.324,0.428,0.001,0.001,938,886,NaN
"Cluster 2, FIRST_RA",0.056,0.009,0.04,0.076,0,0,917,850,NaN
"Cluster 2, FIRST_CANCER",0.233,0.018,0.2,0.27,0.001,0,1028,931,NaN
"Cluster 2, FIRST_VALVULAR_DISEASE",0.226,0.022,0.185,0.267,0.001,0,1006,979,NaN
"Cluster 2, FIRST_WEIGHT_LOSS",0.14,0.018,0.109,0.174,0.001,0,975,1019,NaN
"Cluster 3, FIRST_BL_ANAEMIA",0.008,0.004,0.003,0.015,0,0,1005,930,NaN
"Cluster 3, FIRST_ARRYTHMIA",0.193,0.019,0.157,0.232,0.001,0,943,981,NaN
"Cluster 3, FIRST_CPD",0.447,0.023,0.403,0.494,0.001,0.001,847,912,NaN
"Cluster 3, FIRST_CHF",0.042,0.01,0.023,0.062,0,0,916,908,NaN
"Cluster 3, FIRST_COAGULOPATHY",0.042,0.007,0.03,0.056,0,0,975,917,NaN
"Cluster 3, FIRST_DEF_ANAEMIA",0.192,0.018,0.155,0.227,0.001,0,989,909,NaN
"Cluster 3, FIRST_DEPRESSION",0.504,0.038,0.415,0.571,0.001,0.001,886,833,NaN
"Cluster 3, FIRST_DIAB_COMP",0.003,0.002,0.001,0.007,0,0,1015,941,NaN
"Cluster 3, FIRST_DIAB",0.171,0.02,0.134,0.211,0.001,0,920,748,NaN
"Cluster 3, FIRST_DRUG_ABUSE",0.041,0.007,0.028,0.055,0,0,885,906,NaN
"Cluster 3, FIRST_FED",0.391,0.023,0.347,0.436,0.001,0.001,800,905,NaN
"Cluster 3, FIRST_HYPERTENSION",0.497,0.025,0.45,0.547,0.001,0.001,1050,1026,NaN
"Cluster 3, FIRST_HYPERTENSION_COMP",0.003,0.002,0.001,0.006,0,0,786,803,NaN
"Cluster 3, FIRST_HYPOTHYROIDISM",0.145,0.014,0.117,0.172,0,0,1149,975,NaN
"Cluster 3, FIRST_LIVER_DISEASE",0.147,0.015,0.117,0.174,0.001,0,783,901,NaN
"Cluster 3, FIRST_LYMPHOMA",0.013,0.005,0.005,0.023,0,0,903,1020,NaN
"Cluster 3, FIRST_METASTATIC_CANCER",0.799,0.03,0.737,0.85,0.001,0.001,1100,845,NaN
"Cluster 3, FIRST_OBESITY",0.117,0.014,0.093,0.148,0,0,900,908,NaN
"Cluster 3, FIRST_OND",0.287,0.021,0.247,0.328,0.001,0,948,906,NaN
"Cluster 3, FIRST_PARALYSIS",0.075,0.011,0.056,0.096,0,0,974,983,NaN
"Cluster 3, FIRST_PEP_ULCER",0.081,0.011,0.062,0.103,0,0,1063,906,NaN
"Cluster 3, FIRST_PVD",0.126,0.016,0.096,0.157,0,0,1102,901,NaN
"Cluster 3, FIRST_PSYCHOSES",0.057,0.008,0.042,0.076,0,0,834,959,NaN
"Cluster 3, FIRST_PCD",0.125,0.014,0.1,0.152,0,0,811,847,NaN
"Cluster 3, FIRST_RENAL_DISEASE",0.112,0.016,0.083,0.144,0.001,0,1024,781,NaN
"Cluster 3, FIRST_RA",0.063,0.01,0.045,0.083,0,0,1179,1017,NaN
"Cluster 3, FIRST_CANCER",0.986,0.008,0.971,0.996,0,0,1078,879,NaN
"Cluster 3, FIRST_VALVULAR_DISEASE",0.035,0.008,0.019,0.051,0,0,968,978,NaN
"Cluster 3, FIRST_WEIGHT_LOSS",0.258,0.021,0.216,0.297,0.001,0,1061,941,NaN
"Cluster 4, FIRST_BL_ANAEMIA",0.01,0.004,0.004,0.018,0,0,923,946,NaN
"Cluster 4, FIRST_ARRYTHMIA",0.413,0.033,0.354,0.479,0.001,0.001,923,979,NaN
"Cluster 4, FIRST_CPD",0.265,0.022,0.222,0.309,0.001,0,987,936,NaN
"Cluster 4, FIRST_CHF",0.356,0.032,0.297,0.42,0.001,0.001,1091,976,NaN
"Cluster 4, FIRST_COAGULOPATHY",0.014,0.006,0.005,0.026,0,0,1012,802,NaN
"Cluster 4, FIRST_DEF_ANAEMIA",0.296,0.02,0.257,0.336,0.001,0,904,841,NaN
"Cluster 4, FIRST_DEPRESSION",0.121,0.018,0.093,0.159,0.001,0,1047,1026,NaN
"Cluster 4, FIRST_DIAB_COMP",0.771,0.041,0.686,0.846,0.001,0.001,989,853,NaN
"Cluster 4, FIRST_DIAB",0.995,0.004,0.986,0.999,0,0,860,694,NaN
"Cluster 4, FIRST_DRUG_ABUSE",0.003,0.002,0.001,0.007,0,0,992,981,NaN
"Cluster 4, FIRST_FED",0.494,0.026,0.447,0.544,0.001,0.001,1172,905,NaN
"Cluster 4, FIRST_HYPERTENSION",0.935,0.015,0.906,0.961,0,0,960,874,NaN
"Cluster 4, FIRST_HYPERTENSION_COMP",0.279,0.026,0.228,0.327,0.001,0.001,930,844,NaN
"Cluster 4, FIRST_HYPOTHYROIDISM",0.129,0.016,0.098,0.157,0,0,1032,942,NaN
"Cluster 4, FIRST_LIVER_DISEASE",0.047,0.012,0.028,0.072,0,0,906,799,NaN
"Cluster 4, FIRST_LYMPHOMA",0.016,0.006,0.006,0.029,0,0,957,896,NaN
"Cluster 4, FIRST_METASTATIC_CANCER",0.005,0.004,0.001,0.013,0,0,978,1013,NaN
"Cluster 4, FIRST_OBESITY",0.183,0.019,0.148,0.22,0.001,0,1090,973,NaN
"Cluster 4, FIRST_OND",0.2,0.021,0.161,0.243,0.001,0,886,1015,NaN
"Cluster 4, FIRST_PARALYSIS",0.039,0.01,0.022,0.061,0,0,988,917,NaN
"Cluster 4, FIRST_PEP_ULCER",0.07,0.012,0.049,0.093,0,0,1016,983,NaN
"Cluster 4, FIRST_PVD",0.288,0.023,0.245,0.332,0.001,0.001,944,983,NaN
"Cluster 4, FIRST_PSYCHOSES",0.005,0.004,0.001,0.012,0,0,1018,970,NaN
"Cluster 4, FIRST_PCD",0.018,0.009,0.006,0.034,0,0,808,909,NaN
"Cluster 4, FIRST_RENAL_DISEASE",0.952,0.028,0.9,0.991,0.001,0.001,1077,991,NaN
"Cluster 4, FIRST_RA",0.061,0.012,0.037,0.084,0,0,998,863,NaN
"Cluster 4, FIRST_CANCER",0.168,0.02,0.135,0.21,0.001,0,899,827,NaN
"Cluster 4, FIRST_VALVULAR_DISEASE",0.15,0.023,0.109,0.194,0.001,0,1031,944,NaN
"Cluster 4, FIRST_WEIGHT_LOSS",0.105,0.016,0.076,0.134,0.001,0,915,975,NaN
"Cluster 5, FIRST_BL_ANAEMIA",0.002,0.001,0.001,0.005,0,0,976,981,NaN
"Cluster 5, FIRST_ARRYTHMIA",0.229,0.015,0.199,0.257,0,0,951,819,NaN
"Cluster 5, FIRST_CPD",0.123,0.014,0.095,0.152,0,0,910,979,NaN
"Cluster 5, FIRST_CHF",0.051,0.009,0.034,0.067,0,0,811,916,NaN
"Cluster 5, FIRST_COAGULOPATHY",0.03,0.005,0.021,0.04,0,0,1053,975,NaN
"Cluster 5, FIRST_DEF_ANAEMIA",0.078,0.01,0.057,0.097,0,0,1013,875,NaN
"Cluster 5, FIRST_DEPRESSION",0.11,0.012,0.088,0.132,0,0,1011,920,NaN
"Cluster 5, FIRST_DIAB_COMP",0.002,0.002,0.001,0.006,0,0,1071,974,NaN
"Cluster 5, FIRST_DIAB",0.12,0.011,0.1,0.142,0,0,963,818,NaN
"Cluster 5, FIRST_DRUG_ABUSE",0.003,0.002,0.001,0.007,0,0,944,742,NaN
"Cluster 5, FIRST_FED",0.307,0.017,0.273,0.341,0.001,0,835,1020,NaN
"Cluster 5, FIRST_HYPERTENSION",0.281,0.018,0.245,0.313,0.001,0,998,964,NaN
"Cluster 5, FIRST_HYPERTENSION_COMP",0.002,0.001,0.001,0.004,0,0,851,906,NaN
"Cluster 5, FIRST_HYPOTHYROIDISM",0.063,0.009,0.046,0.08,0,0,919,900,NaN
"Cluster 5, FIRST_LIVER_DISEASE",0.048,0.009,0.033,0.066,0,0,1076,1072,NaN
"Cluster 5, FIRST_LYMPHOMA",0.968,0.024,0.918,0.996,0.001,0.001,979,938,NaN
"Cluster 5, FIRST_METASTATIC_CANCER",0.159,0.012,0.136,0.182,0,0,843,950,NaN
"Cluster 5, FIRST_OBESITY",0.028,0.007,0.017,0.042,0,0,916,901,NaN
"Cluster 5, FIRST_OND",0.055,0.01,0.037,0.075,0,0,1092,982,NaN
"Cluster 5, FIRST_PARALYSIS",0.034,0.006,0.022,0.045,0,0,1043,1021,NaN
"Cluster 5, FIRST_PEP_ULCER",0.022,0.006,0.012,0.033,0,0,779,880,NaN
"Cluster 5, FIRST_PVD",0.033,0.006,0.021,0.045,0,0,1022,725,NaN
"Cluster 5, FIRST_PSYCHOSES",0.009,0.003,0.004,0.015,0,0,988,941,NaN
"Cluster 5, FIRST_PCD",0.077,0.009,0.06,0.094,0,0,831,789,NaN
"Cluster 5, FIRST_RENAL_DISEASE",0.166,0.012,0.145,0.191,0,0,816,868,NaN
"Cluster 5, FIRST_RA",0.036,0.006,0.025,0.047,0,0,995,981,NaN
"Cluster 5, FIRST_CANCER",0.176,0.014,0.15,0.203,0,0,1024,901,NaN
"Cluster 5, FIRST_VALVULAR_DISEASE",0.038,0.007,0.025,0.052,0,0,789,970,NaN
"Cluster 5, FIRST_WEIGHT_LOSS",0.154,0.012,0.131,0.177,0,0,992,941,NaN
"Cluster 6, FIRST_BL_ANAEMIA",0.006,0.002,0.002,0.01,0,0,1016,810,NaN
"Cluster 6, FIRST_ARRYTHMIA",0.647,0.017,0.614,0.68,0.001,0,978,952,NaN
"Cluster 6, FIRST_CPD",0.321,0.013,0.295,0.346,0,0,859,700,NaN
"Cluster 6, FIRST_CHF",0.415,0.019,0.379,0.452,0.001,0,1189,820,NaN
"Cluster 6, FIRST_COAGULOPATHY",0.013,0.003,0.008,0.019,0,0,1144,816,NaN
"Cluster 6, FIRST_DEF_ANAEMIA",0.174,0.01,0.155,0.193,0,0,851,817,NaN
"Cluster 6, FIRST_DEPRESSION",0.116,0.01,0.098,0.135,0,0,1052,943,NaN
"Cluster 6, FIRST_DIAB_COMP",0.002,0.001,0.001,0.005,0,0,1042,1068,NaN
"Cluster 6, FIRST_DIAB",0.177,0.012,0.153,0.201,0,0,856,1023,NaN
"Cluster 6, FIRST_DRUG_ABUSE",0.002,0.001,0.001,0.004,0,0,831,883,NaN
"Cluster 6, FIRST_FED",0.32,0.013,0.294,0.347,0,0,1089,981,NaN
"Cluster 6, FIRST_HYPERTENSION",0.756,0.012,0.732,0.779,0,0,985,1066,NaN
"Cluster 6, FIRST_HYPERTENSION_COMP",0.011,0.003,0.006,0.016,0,0,925,986,NaN
"Cluster 6, FIRST_HYPOTHYROIDISM",0.11,0.008,0.095,0.125,0,0,1015,983,NaN
"Cluster 6, FIRST_LIVER_DISEASE",0.063,0.008,0.047,0.078,0,0,842,909,NaN
"Cluster 6, FIRST_LYMPHOMA",0.022,0.004,0.014,0.03,0,0,997,1024,NaN
"Cluster 6, FIRST_METASTATIC_CANCER",0.987,0.01,0.967,0.998,0,0,1106,874,NaN
"Cluster 6, FIRST_OBESITY",0.116,0.008,0.101,0.131,0,0,845,944,NaN
"Cluster 6, FIRST_OND",0.168,0.009,0.151,0.189,0,0,787,952,NaN
"Cluster 6, FIRST_PARALYSIS",0.029,0.004,0.022,0.039,0,0,1007,727,NaN
"Cluster 6, FIRST_PEP_ULCER",0.041,0.006,0.031,0.054,0,0,975,940,NaN
"Cluster 6, FIRST_PVD",0.155,0.009,0.137,0.173,0,0,1025,900,NaN
"Cluster 6, FIRST_PSYCHOSES",0.002,0.001,0.001,0.005,0,0,1046,874,NaN
"Cluster 6, FIRST_PCD",0.121,0.009,0.103,0.137,0,0,1083,972,NaN
"Cluster 6, FIRST_RENAL_DISEASE",0.193,0.012,0.169,0.217,0,0,1096,1025,NaN
"Cluster 6, FIRST_RA",0.05,0.006,0.039,0.061,0,0,939,990,NaN
"Cluster 6, FIRST_CANCER",0.981,0.006,0.969,0.991,0,0,1006,874,NaN
"Cluster 6, FIRST_VALVULAR_DISEASE",0.307,0.014,0.281,0.334,0,0,1028,897,NaN
"Cluster 6, FIRST_WEIGHT_LOSS",0.093,0.009,0.076,0.11,0,0,903,1011,NaN
"Cluster 7, FIRST_BL_ANAEMIA",0.002,0.001,0.001,0.003,0,0,1110,864,NaN
"Cluster 7, FIRST_ARRYTHMIA",0.302,0.012,0.279,0.326,0,0,932,904,NaN
"Cluster 7, FIRST_CPD",0.249,0.013,0.226,0.276,0,0,872,913,NaN
"Cluster 7, FIRST_CHF",0.064,0.009,0.047,0.083,0,0,972,975,NaN
"Cluster 7, FIRST_COAGULOPATHY",0.008,0.003,0.004,0.014,0,0,1038,990,NaN
"Cluster 7, FIRST_DEF_ANAEMIA",0.147,0.009,0.131,0.164,0,0,1076,944,NaN
"Cluster 7, FIRST_DEPRESSION",0.145,0.012,0.124,0.172,0,0,1084,839,NaN
"Cluster 7, FIRST_DIAB_COMP",0.002,0.001,0.001,0.004,0,0,879,912,NaN
"Cluster 7, FIRST_DIAB",0.135,0.01,0.118,0.156,0,0,1001,883,NaN
"Cluster 7, FIRST_DRUG_ABUSE",0.002,0.001,0.001,0.003,0,0,1015,852,NaN
"Cluster 7, FIRST_FED",0.976,0.019,0.94,0.997,0.001,0,973,945,NaN
"Cluster 7, FIRST_HYPERTENSION",0.477,0.016,0.448,0.51,0.001,0,969,790,NaN
"Cluster 7, FIRST_HYPERTENSION_COMP",0.002,0.001,0.001,0.003,0,0,1046,886,NaN
"Cluster 7, FIRST_HYPOTHYROIDISM",0.127,0.008,0.113,0.143,0,0,1053,941,NaN
"Cluster 7, FIRST_LIVER_DISEASE",0.065,0.007,0.053,0.078,0,0,812,866,NaN
"Cluster 7, FIRST_LYMPHOMA",0.014,0.004,0.007,0.021,0,0,1047,937,NaN
"Cluster 7, FIRST_METASTATIC_CANCER",0.003,0.002,0.001,0.005,0,0,892,822,NaN
"Cluster 7, FIRST_OBESITY",0.005,0.003,0.001,0.011,0,0,931,975,NaN
"Cluster 7, FIRST_OND",0.284,0.016,0.252,0.316,0.001,0,962,1026,NaN
"Cluster 7, FIRST_PARALYSIS",0.047,0.005,0.037,0.057,0,0,927,873,NaN
"Cluster 7, FIRST_PEP_ULCER",0.018,0.005,0.01,0.027,0,0,944,828,NaN
"Cluster 7, FIRST_PVD",0.086,0.008,0.071,0.101,0,0,844,957,NaN
"Cluster 7, FIRST_PSYCHOSES",0.018,0.003,0.012,0.024,0,0,990,1024,NaN
"Cluster 7, FIRST_PCD",0.012,0.004,0.005,0.021,0,0,1013,909,NaN
"Cluster 7, FIRST_RENAL_DISEASE",0.189,0.011,0.168,0.211,0,0,1077,983,NaN
"Cluster 7, FIRST_RA",0.029,0.005,0.018,0.039,0,0,1063,785,NaN
"Cluster 7, FIRST_CANCER",0.143,0.01,0.123,0.164,0,0,1018,722,NaN
"Cluster 7, FIRST_VALVULAR_DISEASE",0.014,0.005,0.006,0.025,0,0,954,983,NaN
"Cluster 7, FIRST_WEIGHT_LOSS",0.166,0.009,0.15,0.185,0,0,949,794,NaN
"Cluster 8, FIRST_BL_ANAEMIA",0.005,0.001,0.003,0.007,0,0,709,973,NaN
"Cluster 8, FIRST_ARRYTHMIA",0.059,0.005,0.049,0.069,0,0,990,842,NaN
"Cluster 8, FIRST_CPD",0.317,0.009,0.3,0.336,0,0,978,943,NaN
"Cluster 8, FIRST_CHF",0.018,0.003,0.013,0.023,0,0,946,872,NaN
"Cluster 8, FIRST_COAGULOPATHY",0.013,0.002,0.009,0.016,0,0,1014,937,NaN
"Cluster 8, FIRST_DEF_ANAEMIA",0.115,0.005,0.105,0.126,0,0,921,940,NaN
"Cluster 8, FIRST_DEPRESSION",0.467,0.011,0.447,0.488,0,0,1080,1026,NaN
"Cluster 8, FIRST_DIAB_COMP",0.001,0,0.001,0.002,0,0,956,941,NaN
"Cluster 8, FIRST_DIAB",0.277,0.011,0.254,0.296,0,0,971,947,NaN
"Cluster 8, FIRST_DRUG_ABUSE",0.008,0.002,0.005,0.012,0,0,971,982,NaN
"Cluster 8, FIRST_FED",0.036,0.004,0.028,0.042,0,0,1075,975,NaN
"Cluster 8, FIRST_HYPERTENSION",0.519,0.012,0.496,0.542,0,0,926,865,NaN
"Cluster 8, FIRST_HYPERTENSION_COMP",0.001,0,0.001,0.002,0,0,981,907,NaN
"Cluster 8, FIRST_HYPOTHYROIDISM",0.14,0.005,0.128,0.149,0,0,895,943,NaN
"Cluster 8, FIRST_LIVER_DISEASE",0.06,0.003,0.054,0.067,0,0,967,944,NaN
"Cluster 8, FIRST_LYMPHOMA",0.005,0.001,0.003,0.007,0,0,1022,971,NaN
"Cluster 8, FIRST_METASTATIC_CANCER",0.001,0,0.001,0.001,0,0,876,899,NaN
"Cluster 8, FIRST_OBESITY",0.557,0.022,0.514,0.599,0.001,0.001,934,921,NaN
"Cluster 8, FIRST_OND",0.049,0.005,0.04,0.059,0,0,843,901,NaN
"Cluster 8, FIRST_PARALYSIS",0.008,0.002,0.005,0.011,0,0,1030,905,NaN
"Cluster 8, FIRST_PEP_ULCER",0.024,0.003,0.019,0.029,0,0,860,874,NaN
"Cluster 8, FIRST_PVD",0.017,0.003,0.012,0.022,0,0,843,944,NaN
"Cluster 8, FIRST_PSYCHOSES",0.011,0.002,0.008,0.014,0,0,1001,943,NaN
"Cluster 8, FIRST_PCD",0.036,0.003,0.031,0.041,0,0,961,936,NaN
"Cluster 8, FIRST_RENAL_DISEASE",0.043,0.004,0.035,0.051,0,0,919,936,NaN
"Cluster 8, FIRST_RA",0.071,0.004,0.063,0.078,0,0,1100,897,NaN
"Cluster 8, FIRST_CANCER",0.063,0.005,0.053,0.073,0,0,930,1021,NaN
"Cluster 8, FIRST_VALVULAR_DISEASE",0.022,0.003,0.017,0.028,0,0,1039,943,NaN
"Cluster 8, FIRST_WEIGHT_LOSS",0.019,0.003,0.013,0.025,0,0,838,928,NaN
"Cluster 9, FIRST_BL_ANAEMIA",0.01,0.003,0.004,0.017,0,0,698,910,NaN
"Cluster 9, FIRST_ARRYTHMIA",0.19,0.017,0.155,0.22,0.001,0,984,908,NaN
"Cluster 9, FIRST_CPD",0.286,0.018,0.254,0.322,0.001,0,1005,983,NaN
"Cluster 9, FIRST_CHF",0.085,0.013,0.06,0.11,0,0,1066,1017,NaN
"Cluster 9, FIRST_COAGULOPATHY",0.049,0.007,0.037,0.064,0,0,1009,988,NaN
"Cluster 9, FIRST_DEF_ANAEMIA",0.216,0.015,0.186,0.247,0,0,1121,1072,NaN
"Cluster 9, FIRST_DEPRESSION",0.482,0.025,0.436,0.534,0.001,0.001,985,907,NaN
"Cluster 9, FIRST_DIAB_COMP",0.503,0.022,0.463,0.544,0.001,0.001,929,841,NaN
"Cluster 9, FIRST_DIAB",0.996,0.003,0.989,0.999,0,0,1191,909,NaN
"Cluster 9, FIRST_DRUG_ABUSE",0.057,0.007,0.044,0.071,0,0,974,853,NaN
"Cluster 9, FIRST_FED",0.364,0.022,0.317,0.405,0.001,0,1083,873,NaN
"Cluster 9, FIRST_HYPERTENSION",0.739,0.019,0.701,0.774,0.001,0,1099,914,NaN
"Cluster 9, FIRST_HYPERTENSION_COMP",0.006,0.003,0.002,0.013,0,0,983,943,NaN
"Cluster 9, FIRST_HYPOTHYROIDISM",0.104,0.013,0.079,0.13,0,0,1094,871,NaN
